Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,5438,0.17880484,-0.00043205,0.00000000,0.17880536,2.33939672,0.13271978,0.02296842,2.34327102,0.30336866,0.54701847,0.02526536,-0.00377583,0.00750377,-0.00314323,0.62608349,2.20605755,-0.01148433,0.02921748,2.20628095,0.04341287,0.48123912,0.00000688,33.58341980,1390.34460449,43.10153580,0.73409909
internalMesh,5439,0.18072338,-0.00043475,0.00000000,0.18072391,2.34086537,0.13627800,0.02672073,2.34498119,0.30344397,0.53934419,0.02405903,-0.00507202,0.01176491,-0.00419049,0.61946023,2.23288298,-0.00717643,0.04389547,2.23332596,0.03956313,0.47298671,0.00000511,33.55511475,1350.59960938,43.09284592,0.73375523
internalMesh,5440,0.18265685,-0.00043748,0.00000000,0.18265737,2.34008431,0.13926958,0.03014827,2.34441876,0.30409464,0.52689302,0.02289387,-0.00764637,0.01328765,-0.00690670,0.60901284,2.25267625,0.02346578,0.03672491,2.25309777,0.03690917,0.46384993,0.00000480,33.52719879,1311.36328125,43.08774567,0.73399353
internalMesh,5441,0.18460535,-0.00044022,0.00000000,0.18460587,2.33517456,0.14156683,0.03146962,2.33967352,0.30536711,0.51442099,0.02150502,-0.01088715,0.01265599,-0.00967810,0.59892642,2.23992848,0.06674851,0.01440173,2.24096918,0.03571815,0.45636474,0.00000553,33.50019073,1272.70678711,43.07728195,0.73498404
internalMesh,5442,0.18656899,-0.00044299,0.00000000,0.18656952,2.33022451,0.14383523,0.03052136,2.33485889,0.30191091,0.50568444,0.01995348,-0.01582060,0.01111353,-0.01158149,0.58972281,2.21138263,0.10394590,-0.00656171,2.21383405,0.03560051,0.44937489,0.00000529,33.47330856,1234.68041992,43.04537201,0.74111152
internalMesh,5443,0.18854790,-0.00044578,0.00000000,0.18854843,2.32749319,0.14530684,0.02748998,2.33218670,0.29299429,0.50326866,0.01760911,-0.02083020,0.00979563,-0.01242825,0.58319753,2.21585131,0.14331029,0.00042605,2.22048092,0.03602971,0.44296577,0.00000508,33.44553757,1197.33776855,42.99459457,0.74630398
internalMesh,5444,0.19054220,-0.00044859,0.00000000,0.19054273,2.32232952,0.14450473,0.02300229,2.32693481,0.28528488,0.50577581,0.01576263,-0.02088714,0.00743531,-0.01113784,0.58142990,2.25315166,0.17162128,0.02520078,2.25981879,0.03678647,0.44019814,0.00000407,33.41670227,1160.78637695,42.95640182,0.74314612
internalMesh,5445,0.19255199,-0.00045142,0.00000000,0.19255252,2.31650448,0.14246400,0.01948712,2.32096291,0.28148687,0.50578105,0.01536223,-0.01380613,0.00392164,-0.00885499,0.57928383,2.25212049,0.16378732,0.02876041,2.25825167,0.03686290,0.43817800,0.00000458,33.38593292,1125.26477051,42.94329453,0.73771721
internalMesh,5446,0.19457742,-0.00045427,0.00000000,0.19457795,2.31443620,0.13912438,0.01953913,2.31869626,0.28093097,0.49949726,0.01754951,-0.00112670,0.00228122,-0.00753651,0.57340300,2.24468279,0.15040003,0.01329731,2.24975514,0.03590510,0.43489398,0.00000539,33.35215378,1090.97814941,42.91514969,0.73400325
internalMesh,5447,0.19661859,-0.00045715,0.00000000,0.19661913,2.31470799,0.13491321,0.02008961,2.31872344,0.28216952,0.48966992,0.02169400,0.00926624,0.00397013,-0.00483039,0.56567824,2.27124524,0.14578316,0.00480497,2.27592421,0.03639134,0.43315809,0.00000860,33.31529236,1058.07653809,42.86758041,0.73296374
