Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,0,-0.019808582030,0.000159420306,0.000000000000,0.019809223531,9.764001846313,0.061510905623,0.000000000000,9.764195442200,1.016140460968,1.451625704765,0.000010102830,53384.636718750000,37369.207031250000,0.855490922928
internalMesh,1,-0.018257364631,0.000159420306,0.000000000000,0.018258060633,9.264954566956,0.112638741732,0.000000000000,9.265639305115,1.740325808525,2.486182451248,0.000017626006,74617.679687500000,52232.414062500000,-0.000323162472
internalMesh,2,-0.016768123023,0.000159420306,0.000000000000,0.016768880838,8.730841636658,0.130611211061,0.000000000000,8.731818199158,2.453228473663,3.504612207413,0.000025450352,81129.023437500000,56790.312500000000,-0.390767276287
internalMesh,3,-0.015338382218,0.000159420306,0.000000000000,0.015339210667,8.202806472778,0.137378752232,0.000000000000,8.203956604004,3.226756095886,4.609653949738,0.000034433473,81878.796875000000,57315.164062500000,-0.595130145550
internalMesh,4,-0.013965765014,0.000159420306,0.000000000000,0.013966674882,7.726204395294,0.137173935771,0.000000000000,7.727422237396,4.116975784302,5.881394386292,0.000045266930,80522.835937500000,56365.972656250000,-0.848865151405
internalMesh,5,-0.012647987809,0.000159420306,0.000000000000,0.012648992468,7.326495647430,0.131334751844,0.000000000000,7.327672481537,5.158939838409,7.369910240173,0.000058442110,78471.078125000000,54929.746093750000,-1.127663016319
internalMesh,6,-0.011382859666,0.000159420306,0.000000000000,0.011383975975,7.013292312622,0.121814399958,0.000000000000,7.014349937439,6.368053913116,9.097218513489,0.000074237490,76273.726562500000,53391.597656250000,-1.366795182228
internalMesh,7,-0.010168278124,0.000159420306,0.000000000000,0.010169527759,6.784735679626,0.110632471740,0.000000000000,6.785637378693,7.740618228912,11.058011054993,0.000092688133,74151.554687500000,51906.082031250000,-1.548542857170
internalMesh,8,-0.009002223145,0.000159420306,0.000000000000,0.009003634621,6.628426074982,0.099284984171,0.000000000000,6.629169464111,9.254516601562,13.220738410950,0.000113585127,72183.656250000000,50528.562500000000,-1.685225367546
internalMesh,9,-0.007882755715,0.000159420306,0.000000000000,0.007884367603,6.526722908020,0.090808421373,0.000000000000,6.527354717255,10.872509956360,15.532151222229,0.000136515489,70381.414062500000,49266.976562500000,-1.793727159500
internalMesh,10,-0.006808015052,0.000159420306,0.000000000000,0.006809881334,6.460118770599,0.085398659110,0.000000000000,6.460683345795,12.547075271606,17.924396514893,0.000160932002,68723.023437500000,48106.105468750000,-1.901845574379
internalMesh,11,-0.005776213715,0.000159420306,0.000000000000,0.005778413252,6.411615848541,0.082013443112,0.000000000000,6.412140369415,14.229084968567,20.327270507812,0.000186225647,67181.796875000000,47027.250000000000,-2.025452375412
internalMesh,12,-0.004785635974,0.000159420306,0.000000000000,0.004788290563,6.369142532349,0.079691618681,0.000000000000,6.369641304016,15.874698638916,22.678136825562,0.000211794453,65738.781250000000,46017.128906250000,-2.170095682144
internalMesh,13,-0.003834635252,0.000159420306,0.000000000000,0.003837947674,6.326508522034,0.077759712934,0.000000000000,6.326986312866,17.450250625610,24.928930282593,0.000237087021,64387.367187500000,45071.171875000000,-2.332909345627
internalMesh,14,-0.002921630279,0.000159420306,0.000000000000,0.002925976473,6.278748989105,0.075617305934,0.000000000000,6.279204368591,18.930206298828,27.043169021606,0.000261685695,63117.535156250000,44182.289062500000,-2.508318662643
internalMesh,15,-0.002045102825,0.000159420306,0.000000000000,0.002051306998,6.234122276306,0.073861144483,0.000000000000,6.234560012817,20.316324234009,29.023332595825,0.000285010494,61978.460937500000,43384.925781250000,-2.665806293488
internalMesh,16,-0.001203595544,0.000159420306,0.000000000000,0.001214107519,6.132708072662,0.097005769610,0.000000000000,6.133475303650,21.495750427246,30.708217620850,0.000308359129,60660.582031250000,42462.402343750000,-2.847213029861
internalMesh,17,-0.000395709241,0.000159420306,0.000000000000,0.000426615327,6.132261753082,-0.039373375475,0.000000000000,6.132388114929,22.364683151245,31.949562072754,0.000326201611,59333.144531250000,41533.203125000000,-2.517426729202
internalMesh,18,-0.019808582030,0.000489703059,0.000000000000,0.019814634267,10.091986656189,0.065069921315,0.000000000000,10.092196464539,0.294810354710,0.421157479286,0.000057016248,5170.635742187500,3619.445068359375,0.548539698124
internalMesh,19,-0.018257364631,0.000489703059,0.000000000000,0.018263930912,10.268970489502,0.105453081429,0.000000000000,10.269512176514,0.353110760450,0.504444003105,0.000032272736,10941.448242187500,7659.020019531250,-0.039234664291
internalMesh,20,-0.016768123023,0.000489703059,0.000000000000,0.016775272242,10.369704246521,0.111947529018,0.000000000000,10.370308876038,0.429740786552,0.613915324211,0.000027267557,15760.135742187500,11032.107421875000,-0.360001564026
internalMesh,21,-0.015338382218,0.000489703059,0.000000000000,0.015346197514,10.389971733093,0.112929746509,0.000000000000,10.390585899353,0.526457965374,0.752083003521,0.000027059048,19455.845703125000,13619.106445312500,-0.531999826431
internalMesh,22,-0.013965765014,0.000489703059,0.000000000000,0.013974347982,10.338908195496,0.108174279332,0.000000000000,10.339473724365,0.644415020943,0.920593142509,0.000029025035,22201.947265625000,15541.360351562500,-0.739073157310
internalMesh,23,-0.012647987809,0.000489703059,0.000000000000,0.012657464387,10.223148345947,0.095950037241,0.000000000000,10.223598480225,0.783664405346,1.119520068169,0.000032327833,24240.978515625000,16968.687500000000,-0.967307984829
