# y+ ()         
# Time          	patch           	min             	max             	average         
0.000472781     	upperWall	8.18238990e-03	3.42901025e+00	1.17959882e+00
0.000472781     	lowerWall	2.89703488e-02	2.37184306e+00	9.31467380e-01
0.00048281      	upperWall	6.39010365e-03	3.43166731e+00	1.18016213e+00
0.00048281      	lowerWall	4.87718331e-02	2.37510824e+00	9.33369052e-01
0.000492839     	upperWall	7.55004538e-03	3.43436439e+00	1.18086731e+00
0.000492839     	lowerWall	4.75698728e-02	2.37841406e+00	9.37877435e-01
0.000502878     	upperWall	6.32785522e-03	3.43710083e+00	1.18158504e+00
0.000502878     	lowerWall	4.83267301e-02	2.38175868e+00	9.38528417e-01
0.000512917     	upperWall	7.40616492e-03	3.43987195e+00	1.18236927e+00
0.000512917     	lowerWall	3.37187987e-02	2.38513494e+00	9.37858971e-01
0.000522956     	upperWall	7.88531068e-03	3.44267530e+00	1.18315660e+00
0.000522956     	lowerWall	4.09038904e-02	2.38853994e+00	9.39099011e-01
0.000532996     	upperWall	1.10771364e-02	3.44550769e+00	1.18401801e+00
0.000532996     	lowerWall	3.28362382e-02	2.39196982e+00	9.42414043e-01
0.000543035     	upperWall	9.03911647e-03	3.44836630e+00	1.18478246e+00
0.000543035     	lowerWall	2.76374974e-02	2.39542124e+00	9.43671617e-01
0.000553074     	upperWall	8.78194578e-03	3.45124893e+00	1.18566136e+00
0.000553074     	lowerWall	2.89622486e-02	2.39889126e+00	9.46147052e-01
0.000563113     	upperWall	7.59520213e-03	3.45415358e+00	1.18648808e+00
0.000563113     	lowerWall	2.87044722e-02	2.40237690e+00	9.49190058e-01
0.000573163     	upperWall	3.99130989e-03	3.45708156e+00	1.18737845e+00
0.000573163     	lowerWall	4.94795812e-02	2.40588003e+00	9.55904669e-01
0.000583213     	upperWall	4.12189983e-03	3.46002799e+00	1.18825709e+00
0.000583213     	lowerWall	4.74388871e-02	2.40939497e+00	9.56242696e-01
0.000593274     	upperWall	3.98861016e-03	3.46299421e+00	1.18914578e+00
0.000593274     	lowerWall	6.46246422e-02	2.41292277e+00	9.61093012e-01
0.000603345     	upperWall	5.59424591e-03	3.46597904e+00	1.19011259e+00
0.000603345     	lowerWall	5.83807927e-02	2.41646154e+00	9.62484084e-01
0.000613406     	upperWall	9.36083192e-03	3.46897469e+00	1.19111801e+00
0.000613406     	lowerWall	3.55677383e-02	2.42000168e+00	9.62721779e-01
0.000623456     	upperWall	1.36076747e-02	3.47197959e+00	1.19213109e+00
0.000623456     	lowerWall	3.97780207e-02	2.42354116e+00	9.64447456e-01
0.000633495     	upperWall	1.31853098e-02	3.47499255e+00	1.19307376e+00
0.000633495     	lowerWall	5.46128616e-02	2.42707806e+00	9.67426342e-01
0.000643513     	upperWall	1.20432740e-02	3.47800916e+00	1.19403721e+00
0.000643513     	lowerWall	4.47016767e-02	2.43060793e+00	9.69311773e-01
0.00065352      	upperWall	7.11487292e-03	3.48103162e+00	1.19496208e+00
0.00065352      	lowerWall	5.24287524e-02	2.43413329e+00	9.72207903e-01
0.000663505     	upperWall	4.49813883e-03	3.48405576e+00	1.19590738e+00
0.000663505     	lowerWall	4.38196629e-02	2.43764833e+00	9.73665074e-01
0.00067348      	upperWall	2.68054765e-03	3.48708381e+00	1.19684320e+00
0.00067348      	lowerWall	4.16132299e-02	2.44115589e+00	9.73735608e-01
0.000683434     	upperWall	5.85761671e-03	3.49011190e+00	1.19779686e+00
0.000683434     	lowerWall	5.35276096e-02	2.44465141e+00	9.76785778e-01
0.000693377     	upperWall	1.02704438e-02	3.49314265e+00	1.19870269e+00
0.000693377     	lowerWall	8.74869933e-03	2.44813756e+00	9.77373210e-01
0.000703298     	upperWall	1.48364869e-02	3.49617210e+00	1.19962419e+00
0.000703298     	lowerWall	3.25896572e-02	2.45160960e+00	9.80756160e-01
0.00071321      	upperWall	1.30851083e-02	3.49920287e+00	1.20043957e+00
0.00071321      	lowerWall	5.01362814e-02	2.45507033e+00	9.85691058e-01
0.0007231       	upperWall	1.35330607e-02	3.50223123e+00	1.20125786e+00
0.0007231       	lowerWall	3.38360144e-02	2.45851472e+00	9.86089656e-01
0.000732979     	upperWall	1.41207786e-02	3.50525989e+00	1.20194381e+00
0.000732979     	lowerWall	5.19806168e-02	2.46194655e+00	9.88068401e-01
0.000742838     	upperWall	1.56787900e-02	3.50828518e+00	1.20286384e+00
0.000742838     	lowerWall	5.00452429e-02	2.46536215e+00	9.90774755e-01
0.000752686     	upperWall	1.69372507e-02	3.51130987e+00	1.20397419e+00
0.000752686     	lowerWall	4.69241240e-02	2.46876414e+00	9.93495487e-01
0.000762513     	upperWall	1.71910198e-02	3.51432993e+00	1.20543588e+00
0.000762513     	lowerWall	5.03137023e-02	2.47214809e+00	9.93679603e-01
0.00077233      	upperWall	1.78112295e-02	3.51735026e+00	1.20674093e+00
0.00077233      	lowerWall	5.00916715e-02	2.47551685e+00	9.95979079e-01
0.000782125     	upperWall	1.81383614e-02	3.52036846e+00	1.20797446e+00
0.000782125     	lowerWall	2.01855969e-02	2.47886642e+00	9.97832534e-01
0.000791911     	upperWall	1.85329574e-02	3.52338378e+00	1.20937567e+00
0.000791911     	lowerWall	5.32062938e-02	2.48219965e+00	1.00076817e+00
0.000801686     	upperWall	1.87588025e-02	3.52639551e+00	1.21074103e+00
0.000801686     	lowerWall	5.20675877e-02	2.48551683e+00	1.00269487e+00
0.00081144      	upperWall	1.85512295e-02	3.52940217e+00	1.21202336e+00
0.00081144      	lowerWall	6.31113827e-02	2.48881444e+00	1.00488899e+00
