Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,fK_average,fOmega_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,0,-0.019808582030,0.000159420306,0.000000000000,0.019809223531,9.753149986267,0.046723313630,0.000000000000,9.753261566162,0.500000000000,2.000000000000,0.140627145767,0.281254857779,0.000001398594,54989.046875000000,27494.525390625000,-0.117278203368
internalMesh,1,-0.018257364631,0.000159420306,0.000000000000,0.018258060633,9.267526626587,0.082194127142,0.000000000000,9.267890930176,0.500000000000,2.000000000000,0.231222599745,0.462445229292,0.000002336652,77433.781250000000,38716.898437500000,-0.984412729740
internalMesh,2,-0.016768123023,0.000159420306,0.000000000000,0.016768880838,8.779241561890,0.089986391366,0.000000000000,8.779703140259,0.500000000000,2.000000000000,0.312557041645,0.625114202499,0.000003220845,84818.070312500000,42409.046875000000,-1.365562200546
internalMesh,3,-0.015338382218,0.000159420306,0.000000000000,0.015339210667,8.303164482117,0.090534187853,0.000000000000,8.303658485413,0.500000000000,2.000000000000,0.395123600960,0.790247142315,0.000004163691,86236.781250000000,43118.386718750000,-1.485983610153
internalMesh,4,-0.013965765014,0.000159420306,0.000000000000,0.013966674882,7.860622882843,0.087863974273,0.000000000000,7.861114025116,0.500000000000,2.000000000000,0.486715108156,0.973429799080,0.000005250013,85457.320312500000,42728.664062500000,-1.616819858551
internalMesh,5,-0.012647987809,0.000159420306,0.000000000000,0.012648992468,7.460018634796,0.082812517881,0.000000000000,7.460478305817,0.500000000000,2.000000000000,0.592649459839,1.185299038887,0.000006544168,83917.640625000000,41958.820312500000,-1.776829600334
internalMesh,6,-0.011382859666,0.000159420306,0.000000000000,0.011383975975,7.101826667786,0.076361455023,0.000000000000,7.102237224579,0.500000000000,2.000000000000,0.716854691505,1.433709740639,0.000008100988,82150.609375000000,41075.312500000000,-1.921363592148
internalMesh,7,-0.010168278124,0.000159420306,0.000000000000,0.010169527759,6.787561416626,0.070179931819,0.000000000000,6.787924289703,0.500000000000,2.000000000000,0.862747788429,1.725495457649,0.000009970451,80368.453125000000,40184.230468750000,-2.029586315155
internalMesh,8,-0.009002223145,0.000159420306,0.000000000000,0.009003634621,6.503346920013,0.065205380321,0.000000000000,6.503674030304,0.500000000000,2.000000000000,1.033027052879,2.066052675247,0.000012205405,78619.789062500000,39309.894531250000,-2.120023965836
internalMesh,9,-0.007882755715,0.000159420306,0.000000000000,0.007884367603,6.247833251953,0.060933686793,0.000000000000,6.248130321503,0.500000000000,2.000000000000,1.230388045311,2.460777521133,0.000014856128,76928.250000000000,38464.128906250000,-2.219881772995
internalMesh,10,-0.006808015052,0.000159420306,0.000000000000,0.006809881334,6.022184848785,0.056669156998,0.000000000000,6.022451400757,0.500000000000,2.000000000000,1.457507967949,2.915016651154,0.000017971912,75312.781250000000,37656.382812500000,-2.326829433441
internalMesh,11,-0.005776213715,0.000159420306,0.000000000000,0.005778413252,5.827208042145,0.052154164761,0.000000000000,5.827441215515,0.500000000000,2.000000000000,1.716802835464,3.433605194092,0.000021598624,73787.671875000000,36893.828125000000,-2.427482128143
internalMesh,12,-0.004785635974,0.000159420306,0.000000000000,0.004788290563,5.663072586060,0.047468814999,0.000000000000,5.663271427155,0.500000000000,2.000000000000,2.010226726532,4.020452976227,0.000025775178,72363.156250000000,36181.570312500000,-2.512663125992
internalMesh,13,-0.003834635252,0.000159420306,0.000000000000,0.003837947674,5.528956413269,0.042864762247,0.000000000000,5.529122352600,0.500000000000,2.000000000000,2.339062452316,4.678127765656,0.000030530646,71044.117187500000,35522.050781250000,-2.577769517899
internalMesh,14,-0.002921630279,0.000159420306,0.000000000000,0.002925976473,5.421788215637,0.038723979145,0.000000000000,5.421926498413,0.500000000000,2.000000000000,2.703586816788,5.407174110413,0.000035884073,69825.546875000000,34912.765625000000,-2.620383739471
internalMesh,15,-0.002045102825,0.000159420306,0.000000000000,0.002051306998,5.339672565460,0.035018090159,0.000000000000,5.339787483215,0.500000000000,2.000000000000,3.103491783142,6.206977844238,0.000041838346,68706.320312500000,34353.160156250000,-2.635558366776
internalMesh,16,-0.001203595544,0.000159420306,0.000000000000,0.001214107519,5.264976501465,0.038213465363,0.000000000000,5.265115261078,0.500000000000,2.000000000000,3.533961534500,7.067923069000,0.000048421596,67614.609375000000,33807.300781250000,-2.632581472397
internalMesh,17,-0.000395709241,0.000159420306,0.000000000000,0.000426615327,5.218208312988,0.021470580250,0.000000000000,5.218252658844,0.500000000000,2.000000000000,3.978994607925,7.957988262177,0.000055561890,66427.117187500000,33213.550781250000,-2.557406902313
internalMesh,18,-0.019808582030,0.000489703059,0.000000000000,0.019814634267,10.107010841370,0.066860951483,0.000000000000,10.107232093811,0.500000000000,2.000000000000,0.041660904884,0.083321794868,0.000011790185,3533.527343750000,1766.763061523438,-0.437627166510
internalMesh,19,-0.018257364631,0.000489703059,0.000000000000,0.018263930912,10.317495346069,0.107546761632,0.000000000000,10.318056106567,0.500000000000,2.000000000000,0.049240175635,0.098480366170,0.000006498499,7577.180175781250,3788.590087890625,-1.054019093513
internalMesh,20,-0.016768123023,0.000489703059,0.000000000000,0.016775272242,10.456854820251,0.112359970808,0.000000000000,10.457458496094,0.500000000000,2.000000000000,0.058419629931,0.116839222610,0.000005260992,11104.333007812500,5552.171875000000,-1.378549337387
