# y+ ()       
# Time        	patch         	min           	max           	average       
0.06          	upperWall	2.997158e-01	1.443452e+01	7.522049e+00
0.06          	lowerWall	7.752931e-01	2.958587e+01	1.664952e+01
0.07          	upperWall	1.944256e-01	1.443452e+01	7.495333e+00
0.07          	lowerWall	1.138937e+00	2.858808e+01	1.614563e+01
0.08          	upperWall	2.362577e-01	1.443452e+01	7.420307e+00
0.08          	lowerWall	1.190006e+00	2.723217e+01	1.582716e+01
0.09          	upperWall	3.536091e-01	1.443452e+01	7.379323e+00
0.09          	lowerWall	1.165248e+00	2.537471e+01	1.520348e+01
0.1           	upperWall	1.112473e+00	1.443452e+01	7.694126e+00
0.1           	lowerWall	1.090527e+00	2.353217e+01	1.426546e+01
0.11          	upperWall	8.983026e-01	1.443452e+01	8.012891e+00
0.11          	lowerWall	1.044398e+00	2.206038e+01	1.346274e+01
0.12          	upperWall	1.250435e+00	1.443452e+01	8.314965e+00
0.12          	lowerWall	1.001690e+00	2.097000e+01	1.293491e+01
0.13          	upperWall	1.508919e+00	1.443452e+01	8.575165e+00
0.13          	lowerWall	9.153740e-01	2.042870e+01	1.257063e+01
0.14          	upperWall	1.615980e+00	1.443452e+01	8.785777e+00
0.14          	lowerWall	8.631593e-01	2.022525e+01	1.229404e+01
0.15          	upperWall	1.886804e+00	1.443452e+01	8.942921e+00
0.15          	lowerWall	7.229181e-01	2.015139e+01	1.208704e+01
0.16          	upperWall	2.254279e+00	1.443452e+01	9.037739e+00
0.16          	lowerWall	6.518958e-01	2.012058e+01	1.194647e+01
0.17          	upperWall	2.436755e+00	1.443452e+01	9.077588e+00
0.17          	lowerWall	5.164649e-01	2.010453e+01	1.185565e+01
0.18          	upperWall	2.490659e+00	1.443452e+01	9.089567e+00
0.18          	lowerWall	4.072808e-01	2.009554e+01	1.179909e+01
0.19          	upperWall	2.504521e+00	1.443452e+01	9.093018e+00
0.19          	lowerWall	3.746907e-01	2.008950e+01	1.175751e+01
0.2           	upperWall	2.507832e+00	1.443452e+01	9.094306e+00
0.2           	lowerWall	4.112210e-01	2.008378e+01	1.172554e+01
0.21          	upperWall	2.508277e+00	1.443452e+01	9.095030e+00
0.21          	lowerWall	3.989936e-01	2.007923e+01	1.169803e+01
0.22          	upperWall	2.509190e+00	1.443452e+01	9.095595e+00
0.22          	lowerWall	2.970617e-01	2.007615e+01	1.166858e+01
0.23          	upperWall	2.510039e+00	1.443452e+01	9.096097e+00
0.23          	lowerWall	3.359243e-01	2.007425e+01	1.165392e+01
0.24          	upperWall	2.510535e+00	1.443452e+01	9.096456e+00
0.24          	lowerWall	3.110110e-01	2.007243e+01	1.164680e+01
0.25          	upperWall	2.510734e+00	1.443452e+01	9.096740e+00
0.25          	lowerWall	2.940837e-01	2.007087e+01	1.164322e+01
0.26          	upperWall	2.511057e+00	1.443452e+01	9.096958e+00
0.26          	lowerWall	2.828171e-01	2.006898e+01	1.164096e+01
0.27          	upperWall	2.511559e+00	1.443452e+01	9.097162e+00
0.27          	lowerWall	2.754486e-01	2.006739e+01	1.163903e+01
0.28          	upperWall	2.512329e+00	1.443452e+01	9.097339e+00
0.28          	lowerWall	2.717857e-01	2.006678e+01	1.163736e+01
0.29          	upperWall	2.513061e+00	1.443452e+01	9.097365e+00
0.29          	lowerWall	2.713378e-01	2.006666e+01	1.163661e+01
0.3           	upperWall	2.513312e+00	1.443452e+01	9.097375e+00
0.3           	lowerWall	2.726221e-01	2.006603e+01	1.163632e+01
