Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,k_r_average,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,10533,0.048459,0.023799,0.000000,0.053988,8.605467,-0.142947,-0.000533,8.606654,7.561841,0.257142,0.000175,0.220500,-0.003258,-0.006304,7.569427,9.885714,-0.001217,-0.001423,9.885714,0.071449,3.909578,3.981027,0.000000,0.823560,2843616.000000,-9.910934,0.993530
internalMesh,10534,0.049364,0.023803,0.000000,0.054803,8.500307,-0.142570,-0.000356,8.501503,8.139660,0.255031,0.000194,0.258090,-0.003694,-0.008369,8.147748,9.876357,-0.088126,-0.000689,9.876750,0.073830,4.197443,4.271272,0.000000,0.808408,2822884.250000,-9.963352,0.993543
internalMesh,10535,0.050276,0.023806,0.000000,0.055627,8.417552,-0.129518,-0.000234,8.418549,8.303421,0.262050,0.000215,0.239419,-0.003980,-0.010426,8.311011,9.845587,-0.069658,0.000032,9.845833,0.079059,4.282842,4.361901,0.000000,0.799724,2802127.500000,-10.171433,0.993821
internalMesh,10536,0.051195,0.023809,0.000000,0.056461,8.323077,-0.125109,-0.000370,8.324018,8.607348,0.287431,0.000223,0.274740,-0.003885,-0.011736,8.616536,9.832374,-0.049698,0.000643,9.832500,0.084796,4.447502,4.532298,0.000000,0.844281,2781347.750000,-10.473683,0.993654
internalMesh,10537,0.052122,0.023812,0.000000,0.057304,8.217874,-0.131112,-0.000631,8.218920,9.032861,0.323542,0.000226,0.350736,-0.003985,-0.011636,9.045465,9.820829,-0.086858,0.000278,9.821214,0.090372,4.678314,4.768685,0.000001,0.886635,2760534.250000,-10.707912,0.992460
internalMesh,10538,0.053055,0.023816,0.000000,0.058156,8.106475,-0.136218,-0.000779,8.107619,9.623219,0.370608,0.000231,0.406285,-0.004093,-0.011146,9.638927,9.774290,-0.141962,-0.000498,9.775321,0.096330,4.997030,5.093360,0.000000,0.886314,2739691.250000,-10.746043,0.992412
internalMesh,10539,0.053996,0.023819,0.000000,0.059017,7.995369,-0.130200,-0.000852,7.996429,10.249957,0.412523,0.000241,0.396981,-0.004291,-0.011306,10.265941,9.678187,-0.217009,-0.000551,9.680620,0.100193,5.331359,5.431553,0.000000,0.876371,2718814.500000,-10.811159,0.993964
internalMesh,10540,0.054944,0.023823,0.000000,0.059887,7.880102,-0.117097,-0.000962,7.880972,10.967672,0.441098,0.000256,0.332528,-0.004545,-0.011448,10.981582,9.538405,-0.262984,-0.000304,9.542030,0.085429,5.704513,5.789942,0.000001,0.891059,2697908.000000,-11.061885,0.995063
internalMesh,10541,0.055900,0.023826,0.000000,0.060766,7.779451,-0.111511,-0.000957,7.780250,11.510588,0.444159,0.000271,0.298766,-0.004563,-0.012190,11.523035,9.468263,-0.228833,0.000342,9.471027,0.082796,5.977509,6.060305,0.000001,0.894756,2676965.000000,-11.617935,0.995289
internalMesh,10542,0.056863,0.023830,0.000000,0.061654,7.694877,-0.112807,-0.000937,7.695704,11.815051,0.435819,0.000283,0.299774,-0.004225,-0.013121,11.826894,9.431210,-0.177194,0.000858,9.432874,0.092472,6.125577,6.218049,0.000000,0.911876,2655984.000000,-12.197342,0.995076
internalMesh,10543,0.057834,0.023833,0.000000,0.062552,7.603427,-0.101402,-0.000948,7.604103,12.275618,0.435053,0.000300,0.207161,-0.003892,-0.013427,12.285079,9.363503,-0.142036,0.000984,9.364581,0.098003,6.355486,6.453489,0.000000,0.949056,2634960.250000,-12.601184,0.993825
internalMesh,10544,0.058812,0.023837,0.000000,0.063459,7.514283,-0.088161,-0.000988,7.514800,12.765308,0.449152,0.000326,0.084739,-0.003780,-0.013575,12.773497,9.266159,-0.095638,0.000286,9.266653,0.100830,6.607393,6.708223,0.000000,0.971333,2613898.250000,-12.938159,0.988743
