Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,ddt0(U)_average_0,ddt0(U)_average_1,ddt0(U)_average_2,ddt0(U)_average_Magnitude,ddt0(kU)_average,ddt0(omegaU)_average,ddtCorrDdt0(U)_average_0,ddtCorrDdt0(U)_average_1,ddtCorrDdt0(U)_average_2,ddtCorrDdt0(U)_average_Magnitude,fK_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,15,-0.00204510,0.00015942,0.00000000,0.00205131,4.62821674,0.01059935,0.00000000,4.62822866,1.61781836,-0.17379092,0.00000000,1.62712610,2.85738134,22433.34375000,1.61781836,-0.17379092,0.00000000,1.62712610,0.19999994,7.09521294,35.47606659,0.00011477,61136.22656250,12227.25000000,-0.55848098
internalMesh,16,-0.00120360,0.00015942,0.00000000,0.00121411,4.58639812,0.02733559,0.00000000,4.58647966,1.53581929,-0.02227253,0.00000000,1.53598082,3.95933270,27391.69531250,1.53581929,-0.02227253,0.00000000,1.53598082,0.19999994,7.53387928,37.66938782,0.00012403,60107.31250000,12021.45996094,-0.76223743
internalMesh,17,-0.00039571,0.00015942,0.00000000,0.00042662,4.54048491,-0.00398389,0.00000000,4.54048681,1.44350290,0.78627419,0.00000000,1.64375412,5.83746481,33331.50781250,1.44350290,0.78627419,0.00000000,1.64375412,0.19999994,7.93250227,39.66250229,0.00013363,58904.28906250,11780.85644531,-0.86638069
internalMesh,18,-0.01980858,0.00048970,0.00000000,0.01981463,10.13875675,0.12249096,0.00000000,10.13949680,-0.00214318,-0.00325800,0.00000000,0.00389971,-0.00097571,-71.29074097,-0.00214318,-0.00325800,0.00000000,0.00389971,0.19999994,0.42872065,2.14360237,0.00009535,4496.33984375,899.26831055,4.26879501
internalMesh,19,-0.01825736,0.00048970,0.00000000,0.01826393,10.36678219,0.18522680,0.00000000,10.36843681,0.00046674,-0.01023090,0.00000000,0.01024154,-0.00419553,-265.31936646,0.00046674,-0.01023090,0.00000000,0.01024154,0.19999994,0.51866806,2.59333944,0.00004902,10580.90527344,2116.17919922,3.22531629
internalMesh,20,-0.01676812,0.00048970,0.00000000,0.01677527,10.44270134,0.19304763,0.00000000,10.44448566,0.01656680,-0.01708276,0.00000000,0.02379663,-0.00939085,-516.79522705,0.01656680,-0.01708276,0.00000000,0.02379663,0.19999994,0.61145818,3.05729127,0.00003876,15776.24902344,3155.25122070,2.58298016
internalMesh,21,-0.01533838,0.00048970,0.00000000,0.01534620,10.38401127,0.19207337,0.00000000,10.38578796,0.05173719,-0.02361612,0.00000000,0.05687230,-0.01657093,-768.37762451,0.05173719,-0.02361612,0.00000000,0.05687230,0.19999994,0.70269930,3.51349711,0.00003560,19738.09375000,3947.61669922,2.17782855
internalMesh,22,-0.01396577,0.00048970,0.00000000,0.01397435,10.23141289,0.18126418,0.00000000,10.23301888,0.10704601,-0.03048432,0.00000000,0.11130203,-0.02671476,-1013.07897949,0.10704601,-0.03048432,0.00000000,0.11130203,0.19999994,0.79097027,3.95485020,0.00003509,22542.06250000,4508.40917969,1.73548269
internalMesh,23,-0.01264799,0.00048970,0.00000000,0.01265746,10.01777267,0.16110827,0.00000000,10.01906776,0.17989278,-0.03776017,0.00000000,0.18381307,-0.03739885,-1251.33312988,0.17989278,-0.03776017,0.00000000,0.18381307,0.19999994,0.87619901,4.38099384,0.00003587,24427.07421875,4885.41650391,1.30515754
internalMesh,24,-0.01138286,0.00048970,0.00000000,0.01139339,9.76896572,0.13606435,0.00000000,9.76991367,0.26868331,-0.04414941,0.00000000,0.27228642,-0.05027888,-1484.77709961,0.26868331,-0.04414941,0.00000000,0.27228642,0.19999994,0.95822108,4.79110575,0.00003737,25638.04296875,5127.60888672,0.96854448
