Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,epsilonU_average,epsilon_average,fK_average,kU_average,k_average,nut_average,p_average
internalMesh,0,-0.019808582030,0.000159420306,0.000000000000,0.019809223531,9.750309944153,0.036087308079,0.000000000000,9.750376701355,5724.012207031250,5724.014160156250,0.099999949336,0.173073559999,1.730735301971,0.000000470981,2.878954410553
internalMesh,1,-0.018257364631,0.000159420306,0.000000000000,0.018258060633,9.232697486877,0.071569450200,0.000000000000,9.232975006104,6903.715820312500,6903.710937500000,0.099999949336,0.196103170514,1.961031794548,0.000000501337,2.003626585007
internalMesh,2,-0.016768123023,0.000159420306,0.000000000000,0.016768880838,8.699673652649,0.082330048084,0.000000000000,8.700062751770,6413.867675781250,6413.845214843750,0.099999949336,0.186711117625,1.867111206055,0.000000489180,1.644361853600
internalMesh,3,-0.015338382218,0.000159420306,0.000000000000,0.015339210667,8.168876647949,0.086278371513,0.000000000000,8.169332504272,5663.767089843750,5663.738281250000,0.099999949336,0.171851247549,1.718512773514,0.000000469305,1.586369037628
internalMesh,4,-0.013965765014,0.000159420306,0.000000000000,0.013966674882,7.650565147400,0.087659135461,0.000000000000,7.651067256927,5111.115722656250,5111.063964843750,0.099999949336,0.160470739007,1.604707360268,0.000000453483,1.550351619720
internalMesh,5,-0.012647987809,0.000159420306,0.000000000000,0.012648992468,7.146215915680,0.087531812489,0.000000000000,7.146751880646,4615.177734375000,4615.081054687500,0.099999949336,0.149886012077,1.498860120773,0.000000438227,1.498343348503
internalMesh,6,-0.011382859666,0.000159420306,0.000000000000,0.011383975975,6.650372505188,0.086972460151,0.000000000000,6.650941371918,4149.803710937500,4149.645019531250,0.099999949336,0.139567330480,1.395673751831,0.000000422772,1.462218046188
internalMesh,7,-0.010168278124,0.000159420306,0.000000000000,0.010169527759,6.157291412354,0.086603999138,0.000000000000,6.157900333405,3707.701660156250,3707.459472656250,0.099999949336,0.129331722856,1.293317198753,0.000000406752,1.446201682091
internalMesh,8,-0.009002223145,0.000159420306,0.000000000000,0.009003634621,5.663294315338,0.086255244911,0.000000000000,5.663950920105,3287.220703125000,3286.872558593750,0.099999949336,0.119082830846,1.190828442574,0.000000389841,1.429067730904
internalMesh,9,-0.007882755715,0.000159420306,0.000000000000,0.007884367603,5.167755603790,0.084887035191,0.000000000000,5.168452739716,2891.014160156250,2890.539550781250,0.099999949336,0.108789563179,1.087895989418,0.000000371689,1.380887031555
internalMesh,10,-0.006808015052,0.000159420306,0.000000000000,0.006809881334,4.675207614899,0.080563358963,0.000000000000,4.675901889801,2526.674804687500,2526.056884765625,0.099999949336,0.098520688713,0.985207080841,0.000000351942,1.271165609360
internalMesh,11,-0.005776213715,0.000159420306,0.000000000000,0.005778413252,4.196534633636,0.071100488305,0.000000000000,4.197136878967,2205.426757812500,2204.659667968750,0.099999949336,0.088461242616,0.884612441063,0.000000330229,1.076015353203
internalMesh,12,-0.004785635974,0.000159420306,0.000000000000,0.004788290563,3.749381065369,0.055012945086,0.000000000000,3.749784708023,1940.771118164062,1939.848022460938,0.099999949336,0.078948415816,0.789483964443,0.000000306137,0.788422584534
internalMesh,13,-0.003834635252,0.000159420306,0.000000000000,0.003837947674,3.354782819748,0.033115539700,0.000000000000,3.354946374893,1744.802246093750,1743.703247070312,0.099999949336,0.070439718664,0.704397082329,0.000000278546,0.422981381416
internalMesh,14,-0.002921630279,0.000159420306,0.000000000000,0.002925976473,3.032656192780,0.007375778165,0.000000000000,3.032665252686,1631.026000976562,1629.806030273438,0.099999949336,0.064872056246,0.648720443249,0.000000257782,0.004040283151
internalMesh,15,-0.002045102825,0.000159420306,0.000000000000,0.002051306998,2.788226842880,-0.020083796233,0.000000000000,2.788299083710,1591.383544921875,1590.045166015625,0.099999949336,0.062980093062,0.629801154137,0.000000253468,-0.456823229790
internalMesh,16,-0.001203595544,0.000159420306,0.000000000000,0.001214107519,2.650220394135,-0.050202440470,0.000000000000,2.650695800781,1598.307739257812,1596.801147460938,0.099999949336,0.062451522797,0.624515175819,0.000000251684,-0.975115895271
internalMesh,17,-0.000395709241,0.000159420306,0.000000000000,0.000426615327,2.624866247177,-0.050749987364,0.000000000000,2.625356912613,1630.744140625000,1629.315307617188,0.099999949336,0.062085516751,0.620855152607,0.000000248047,-1.674880266190
internalMesh,18,-0.019808582030,0.000489703059,0.000000000000,0.019814634267,10.113525390625,0.074756518006,0.000000000000,10.113801956177,194.829986572266,194.829986572266,0.099999949336,0.026225358248,0.262253642082,0.000000317717,2.503391981125
internalMesh,19,-0.018257364631,0.000489703059,0.000000000000,0.018263930912,10.340562820435,0.123550958931,0.000000000000,10.341300964355,207.997817993164,207.997817993164,0.099999949336,0.015703035519,0.157030373812,0.000000106703,1.898430585861
internalMesh,20,-0.016768123023,0.000489703059,0.000000000000,0.016775272242,10.493858337402,0.132892340422,0.000000000000,10.494699478149,167.202087402344,167.202087402344,0.099999949336,0.010122904554,0.101229049265,0.000000055163,1.603625416756
internalMesh,21,-0.015338382218,0.000489703059,0.000000000000,0.015346197514,10.576706886292,0.139596998692,0.000000000000,10.577628135681,134.654190063477,134.654190063477,0.099999949336,0.007503200788,0.075031995773,0.000000037632,1.549604535103
internalMesh,22,-0.013965765014,0.000489703059,0.000000000000,0.013974347982,10.606428146362,0.147759124637,0.000000000000,10.607457160950,115.802131652832,115.802131652832,0.099999949336,0.006273691077,0.062736891210,0.000000030593,1.517608523369
