Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average,turbint_U_average,k_total_average,turbint_uprime_average
internalMesh,9056,0.037308,0.018353,0.000000,0.041578,9.839505,-0.724789,0.000000,9.866163,2.268493,0.408934,0.000000,-0.278651,0.000000,-0.000000,2.321839,10.271245,-0.554449,-0.000000,10.286199,1.338714,0.000006,7.940392,3106065.250000,-2.406763,1.000000,9.866694,0.095473,0.939999
internalMesh,9057,0.038127,0.018369,0.000000,0.042321,9.809365,-0.757571,0.000000,9.838575,2.307225,0.434219,0.000000,-0.326705,0.000000,0.000000,2.370352,10.261961,-0.585811,0.000000,10.278668,1.370722,0.000007,8.108557,3085648.750000,-2.281146,1.000000,9.839087,0.096828,0.950909
internalMesh,9058,0.038951,0.018384,0.000000,0.043072,9.778360,-0.790934,0.000000,9.810296,2.343930,0.461746,0.000000,-0.377424,0.000000,0.000000,2.418608,10.251847,-0.618576,0.000000,10.270493,1.402838,0.000007,8.283297,3065228.250000,-2.147237,1.000000,9.810796,0.098183,0.961698
internalMesh,9059,0.039783,0.018400,0.000000,0.043832,9.746568,-0.824805,0.000000,9.781405,2.378684,0.491717,0.000000,-0.430838,0.000000,0.000000,2.466889,10.240711,-0.652775,0.000000,10.261495,1.435201,0.000007,8.463777,3044803.500000,-2.003996,1.000000,9.781904,0.099543,0.972416
internalMesh,9060,0.040620,0.018416,0.000000,0.044600,9.714066,-0.859109,0.000000,9.751981,2.411591,0.524356,0.000000,-0.486960,0.000000,-0.000000,2.515522,10.228347,-0.688400,-0.000000,10.251487,1.467973,0.000007,8.649105,3024371.750000,-1.850027,0.999999,9.752481,0.100914,0.983121
internalMesh,9061,0.041465,0.018432,0.000000,0.045377,9.680927,-0.893766,0.000000,9.722097,2.442786,0.559913,0.000000,-0.545793,0.000000,-0.000000,2.564877,10.214472,-0.725451,-0.000000,10.240201,1.501349,0.000007,8.838368,3003935.000000,-1.684218,0.999998,9.722609,0.102301,0.993877
internalMesh,9062,0.042315,0.018448,0.000000,0.046162,9.647233,-0.928696,0.000000,9.691831,2.472434,0.598669,0.000000,-0.607324,0.000000,-0.000000,2.615373,10.198926,-0.763818,-0.000000,10.227488,1.535551,0.000008,9.030594,2983483.000000,-1.504733,0.999994,9.692363,0.103712,1.004758
internalMesh,9063,0.043173,0.018464,0.000000,0.046955,9.613067,-0.963815,0.000000,9.661263,2.500726,0.640945,0.000000,-0.671519,0.000000,-0.000000,2.667467,10.181583,-0.803420,-0.000000,10.213233,1.570836,0.000008,9.224730,2963017.000000,-1.310252,0.999990,9.661825,0.105155,1.015843
internalMesh,9064,0.044037,0.018480,0.000000,0.047757,9.578488,-0.999033,0.000000,9.630446,2.527894,0.687101,0.000000,-0.738319,0.000000,-0.000000,2.721667,10.162457,-0.844159,-0.000000,10.197458,1.607498,0.000008,9.419666,2942535.500000,-1.099420,0.999985,9.631053,0.106638,1.027220
internalMesh,9065,0.044908,0.018496,0.000000,0.048567,9.543561,-1.034252,0.000000,9.599440,2.554195,0.737547,0.000000,-0.807628,0.000000,-0.000000,2.778516,10.141867,-0.885959,-0.000000,10.180490,1.645871,0.000008,9.614182,2922037.250000,-0.871841,0.999974,9.600101,0.108172,1.038987
