Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,fOmega_average,kU_average,k_average,nut_average,omegaU_average,omega_average,p_average
internalMesh,0,-0.019808582030,0.000159420306,0.000000000000,0.019809223531,9.753163337708,0.046943232417,0.000000000000,9.753275871277,1.000000000000,0.161059126258,0.161059126258,0.000001601758,52277.300781250000,52277.300781250000,-1.135768294334
internalMesh,1,-0.018257364631,0.000159420306,0.000000000000,0.018258060633,9.270139694214,0.083068586886,0.000000000000,9.270511627197,1.000000000000,0.300222098827,0.300222098827,0.000003033515,72130.515625000000,72130.515625000000,-2.009174346924
internalMesh,2,-0.016768123023,0.000159420306,0.000000000000,0.016768880838,8.789973258972,0.091616421938,0.000000000000,8.790451049805,1.000000000000,0.463845729828,0.463845729828,0.000004777522,78118.234375000000,78118.234375000000,-2.406808376312
internalMesh,3,-0.015338382218,0.000159420306,0.000000000000,0.015339210667,8.331148147583,0.092941284180,0.000000000000,8.331666946411,1.000000000000,0.672240614891,0.672240614891,0.000007075268,78987.882812500000,78987.882812500000,-2.548102855682
internalMesh,4,-0.013965765014,0.000159420306,0.000000000000,0.013966674882,7.919455051422,0.091055192053,0.000000000000,7.919978618622,1.000000000000,0.948119461536,0.948119461536,0.000010201117,78106.101562500000,78106.101562500000,-2.698077201843
internalMesh,5,-0.012647987809,0.000159420306,0.000000000000,0.012648992468,7.567268848419,0.086968511343,0.000000000000,7.567768573761,1.000000000000,1.315820693970,1.315820693970,0.000014461779,76687.882812500000,76687.882812500000,-2.867278099060
internalMesh,6,-0.011382859666,0.000159420306,0.000000000000,0.011383975975,7.279084682465,0.083324901760,0.000000000000,7.279561519623,1.000000000000,1.800730466843,1.800730466843,0.000020188227,75170.554687500000,75170.554687500000,-2.999661207199
internalMesh,7,-0.010168278124,0.000159420306,0.000000000000,0.010169527759,7.034077644348,0.081512585282,0.000000000000,7.034549713135,1.000000000000,2.425205945969,2.425205945969,0.000027720549,73651.257812500000,73651.257812500000,-3.105197191238
internalMesh,8,-0.009002223145,0.000159420306,0.000000000000,0.009003634621,6.834594726562,0.080280080438,0.000000000000,6.835066318512,1.000000000000,3.207337379456,3.207337379456,0.000037345639,72175.351562500000,72175.351562500000,-3.221791982651
internalMesh,9,-0.007882755715,0.000159420306,0.000000000000,0.007884367603,6.684434890747,0.078031532466,0.000000000000,6.684890270233,1.000000000000,4.156080245972,4.156080245972,0.000049237497,70773.367187500000,70773.367187500000,-3.342288732529
internalMesh,10,-0.006808015052,0.000159420306,0.000000000000,0.006809881334,6.582703113556,0.074016220868,0.000000000000,6.583119392395,1.000000000000,5.266023159027,5.266023159027,0.000063388979,69461.578125000000,69461.578125000000,-3.445364713669
internalMesh,11,-0.005776213715,0.000159420306,0.000000000000,0.005778413252,6.525712966919,0.070497706532,0.000000000000,6.526093959808,1.000000000000,6.515042781830,6.515042781830,0.000079571349,68245.765625000000,68245.765625000000,-3.519335031509
internalMesh,12,-0.004785635974,0.000159420306,0.000000000000,0.004788290563,6.504622936249,0.067572005093,0.000000000000,6.504973888397,1.000000000000,7.864127635956,7.864127635956,0.000097343349,67114.210937500000,67114.210937500000,-3.578599691391
internalMesh,13,-0.003834635252,0.000159420306,0.000000000000,0.003837947674,6.506849765778,0.065081268549,0.000000000000,6.507175445557,1.000000000000,9.259998321533,9.259998321533,0.000116070158,66039.835937500000,66039.835937500000,-3.634725093842
internalMesh,14,-0.002921630279,0.000159420306,0.000000000000,0.002925976473,6.517621040344,0.062961608171,0.000000000000,6.517925262451,1.000000000000,10.651631355286,10.651631355286,0.000135153619,65006.062500000000,65006.062500000000,-3.700460672379
internalMesh,15,-0.002045102825,0.000159420306,0.000000000000,0.002051306998,6.537855625153,0.061104368418,0.000000000000,6.538141250610,1.000000000000,12.019321441650,12.019321441650,0.000154176872,64070.800781250000,64070.800781250000,-3.761064291000
internalMesh,16,-0.001203595544,0.000159420306,0.000000000000,0.001214107519,6.513967514038,0.075812958181,0.000000000000,6.514408588409,1.000000000000,13.285048484802,13.285048484802,0.000173082473,63011.136718750000,63011.136718750000,-3.850925922394
internalMesh,17,-0.000395709241,0.000159420306,0.000000000000,0.000426615327,6.554695606232,0.011463031173,0.000000000000,6.554705619812,1.000000000000,14.294782638550,14.294782638550,0.000188915612,61802.320312500000,61802.320312500000,-3.660396814346
internalMesh,18,-0.019808582030,0.000489703059,0.000000000000,0.019814634267,10.107197761536,0.066372230649,0.000000000000,10.107416152954,1.000000000000,0.042950797826,0.042950797826,0.000010369464,4142.044921875000,4142.044921875000,-1.452264666557
internalMesh,19,-0.018257364631,0.000489703059,0.000000000000,0.018263930912,10.317173004150,0.105981819332,0.000000000000,10.317717552185,1.000000000000,0.054011873901,0.054011873901,0.000006346071,8511.075195312500,8511.075195312500,-2.072804689407
internalMesh,20,-0.016768123023,0.000489703059,0.000000000000,0.016775272242,10.454094886780,0.108720518649,0.000000000000,10.454660415649,1.000000000000,0.069836609066,0.069836609066,0.000005749535,12146.473632812500,12146.473632812500,-2.407923936844
internalMesh,21,-0.015338382218,0.000489703059,0.000000000000,0.015346197514,10.523117065430,0.106914669275,0.000000000000,10.523659706116,1.000000000000,0.091766081750,0.091766081750,0.000006108901,15021.704101562500,15021.704101562500,-2.534432411194
internalMesh,22,-0.013965765014,0.000489703059,0.000000000000,0.013974347982,10.542142868042,0.102282099426,0.000000000000,10.542638778687,1.000000000000,0.121505163610,0.121505163610,0.000007023305,17300.283203125000,17300.283203125000,-2.660602569580
internalMesh,23,-0.012647987809,0.000489703059,0.000000000000,0.012657464387,10.519956588745,0.093343213201,0.000000000000,10.520370483398,1.000000000000,0.160952836275,0.160952836275,0.000008397906,19165.802734375000,19165.802734375000,-2.802805423737
internalMesh,24,-0.011382859666,0.000489703059,0.000000000000,0.011393388577,10.462422370911,0.082422591746,0.000000000000,10.462746620178,1.000000000000,0.213344037533,0.213344037533,0.000010254270,20805.351562500000,20805.351562500000,-2.914161205292
internalMesh,25,-0.010168278124,0.000489703059,0.000000000000,0.010180063315,10.374616622925,0.071270108223,0.000000000000,10.374861717224,1.000000000000,0.283546388149,0.283546388149,0.000012685822,22351.398437500000,22351.398437500000,-2.998042106628
internalMesh,26,-0.009002223145,0.000489703059,0.000000000000,0.009015532743,10.260110855103,0.058427795768,0.000000000000,10.260276794434,1.000000000000,0.376265555620,0.376265555620,0.000015776608,23849.478515625000,23849.478515625000,-3.081813573837
internalMesh,27,-0.007882755715,0.000489703059,0.000000000000,0.007897952061,10.120362281799,0.042943581939,0.000000000000,10.120453834534,1.000000000000,0.496322929859,0.496322929859,0.000019611407,25307.519531250000,25307.519531250000,-3.162217617035
internalMesh,28,-0.006808015052,0.000489703059,0.000000000000,0.006825604591,9.956736564636,0.025689749047,0.000000000000,9.956769943237,1.000000000000,0.649535179138,0.649535179138,0.000024308301,26719.896484375000,26719.896484375000,-3.227339982986
internalMesh,29,-0.005776213715,0.000489703059,0.000000000000,0.005796934877,9.772137641907,0.009785530157,0.000000000000,9.772142410278,1.000000000000,0.842430174351,0.842430174351,0.000030012172,28067.849609375000,28067.849609375000,-3.279347658157
internalMesh,30,-0.004785635974,0.000489703059,0.000000000000,0.004810625818,9.571264266968,-0.003134555416,0.000000000000,9.571265220642,1.000000000000,1.084360003471,1.084360003471,0.000036961126,29334.205078125000,29334.205078125000,-3.323716163635
internalMesh,31,-0.003834635252,0.000489703059,0.000000000000,0.003865777619,9.362011909485,-0.011818289757,0.000000000000,9.362019538879,1.000000000000,1.386789560318,1.386789560318,0.000045464545,30496.998046875000,30496.998046875000,-3.374093770981
internalMesh,32,-0.002921630279,0.000489703059,0.000000000000,0.002962386297,9.151839256287,-0.016775485128,0.000000000000,9.151854515076,1.000000000000,1.753805160522,1.753805160522,0.000055645698,31510.298828125000,31510.298828125000,-3.440751791000
internalMesh,33,-0.002045102825,0.000489703059,0.000000000000,0.002102915750,8.948685646057,-0.014788071625,0.000000000000,8.948698043823,1.000000000000,2.179252147675,2.179252147675,0.000067395806,32327.404296875000,32327.404296875000,-3.520466804504
internalMesh,34,-0.001203595544,0.000489703059,0.000000000000,0.001299404218,8.753282546997,-0.011426102370,0.000000000000,8.753290176392,1.000000000000,2.681494235992,2.681494235992,0.000081410843,32930.800781250000,32930.800781250000,-3.646443128586
internalMesh,35,-0.000395709241,0.000489703059,0.000000000000,0.000629598991,8.621107101440,0.042089976370,0.000000000000,8.621210098267,1.000000000000,3.256527900696,3.256527900696,0.000098171040,33167.250000000000,33167.250000000000,-3.882267236710
internalMesh,36,-0.019808582030,0.000843691319,0.000000000000,0.019826541229,10.011478424072,0.040696684271,0.000000000000,10.011561393738,2.376250505447,0.037637945265,0.089437194169,0.000069829628,538.996704101562,226.826629638672,-1.622018218040
internalMesh,37,-0.018257364631,0.000843691319,0.000000000000,0.018276848150,10.062750816345,0.061175402254,0.000000000000,10.062936782837,1.189119935036,0.038688994944,0.046005707234,0.000029568904,988.008728027344,830.876342773438,-2.041482686996
internalMesh,38,-0.016768123023,0.000843691319,0.000000000000,0.016789334852,10.116870880127,0.062595538795,0.000000000000,10.117064476013,1.000000000000,0.040441308171,0.040441308171,0.000022538705,1644.683471679688,1644.683471679688,-2.369619846344
internalMesh,39,-0.015338382218,0.000843691319,0.000000000000,0.015361568413,10.166566848755,0.067673631012,0.000000000000,10.166791915894,1.000000000000,0.042694248259,0.042694248259,0.000017841188,2393.038085937500,2393.038085937500,-2.527839422226
internalMesh,40,-0.013965765014,0.000843691319,0.000000000000,0.013991226089,10.215855598450,0.073430031538,0.000000000000,10.216119766235,1.000000000000,0.045528922230,0.045528922230,0.000014360417,3170.488525390625,3170.488525390625,-2.661575555801
internalMesh,41,-0.012647987809,0.000843691319,0.000000000000,0.012676096034,10.263209342957,0.076830945909,0.000000000000,10.263497352600,1.000000000000,0.049170602113,0.049170602113,0.000012490965,3936.551757812500,3936.551757812500,-2.805827617645
internalMesh,42,-0.011382859666,0.000843691319,0.000000000000,0.011414083810,10.304780960083,0.079674921930,0.000000000000,10.305088996887,1.000000000000,0.054005045444,0.054005045444,0.000011517447,4689.037597656250,4689.037597656250,-2.928422212601
internalMesh,43,-0.010168278124,0.000843691319,0.000000000000,0.010203219838,10.339432716370,0.083485297859,0.000000000000,10.339769363403,1.000000000000,0.060668297112,0.060668297112,0.000011133696,5449.101074218750,5449.101074218750,-3.027049779892
internalMesh,44,-0.009002223145,0.000843691319,0.000000000000,0.009041672224,10.367047309875,0.087436102331,0.000000000000,10.367416381836,1.000000000000,0.069830007851,0.069830007851,0.000011217000,6225.343750000000,6225.343750000000,-3.121826410294
internalMesh,45,-0.007882755715,0.000843691319,0.000000000000,0.007927777287,10.386397361755,0.091134481132,0.000000000000,10.386796951294,1.000000000000,0.082236550748,0.082236550748,0.000011706175,7024.965332031250,7024.965332031250,-3.214983224869
internalMesh,46,-0.006808015052,0.000843691319,0.000000000000,0.006860093585,10.395977973938,0.095266446471,0.000000000000,10.396414756775,1.000000000000,0.098861701787,0.098861701787,0.000012581065,7857.829589843750,7857.829589843750,-3.298875093460
internalMesh,47,-0.005776213715,0.000843691319,0.000000000000,0.005837504597,10.394712448120,0.100192591548,0.000000000000,10.395195007324,1.000000000000,0.121039643884,0.121039643884,0.000013857026,8734.713867187500,8734.713867187500,-3.371169090271
internalMesh,48,-0.004785635974,0.000843691319,0.000000000000,0.004859436873,10.382039070129,0.106019392610,0.000000000000,10.382580757141,1.000000000000,0.150834515691,0.150834515691,0.000015599255,9669.120117187500,9669.120117187500,-3.433453321457
internalMesh,49,-0.003834635252,0.000843691319,0.000000000000,0.003926352322,10.357987403870,0.112438134849,0.000000000000,10.358597755432,1.000000000000,0.191183805466,0.191183805466,0.000017916153,10670.683593750000,10670.683593750000,-3.495590448380
internalMesh,50,-0.002921630279,0.000843691319,0.000000000000,0.003041009459,10.322183609009,0.118698865175,0.000000000000,10.322866439819,1.000000000000,0.245483487844,0.245483487844,0.000020920295,11733.721679687500,11733.721679687500,-3.567225456238
internalMesh,51,-0.002045102825,0.000843691319,0.000000000000,0.002212297586,10.275069236755,0.125855267048,0.000000000000,10.275839805603,1.000000000000,0.317982226610,0.317982226610,0.000024757648,12843.181640625000,12843.181640625000,-3.652779340744
internalMesh,52,-0.001203595544,0.000843691319,0.000000000000,0.001469849406,10.218942642212,0.133194640279,0.000000000000,10.219810485840,1.000000000000,0.413807749748,0.413807749748,0.000029604629,13977.350585937500,13977.350585937500,-3.788921117783
internalMesh,53,-0.000395709241,0.000843691319,0.000000000000,0.000931880275,10.155451774597,0.144088715315,0.000000000000,10.156474113464,1.000000000000,0.541061520576,0.541061520576,0.000035828256,15101.499023437500,15101.499023437500,-4.016386508942
internalMesh,54,-0.019808582030,0.001223086554,0.000000000000,0.019846306023,10.005909919739,0.029958499596,0.000000000000,10.005954742432,5.397612094879,0.037320002913,0.201438099146,0.000093574869,398.824645996094,73.889183044434,-1.754791855812
internalMesh,55,-0.018257364631,0.001223086554,0.000000000000,0.018298286914,10.034021377563,0.055906768888,0.000000000000,10.034176826477,3.042210817337,0.037206355482,0.113189980388,0.000087973996,422.924957275391,139.018692016602,-2.065894842148
internalMesh,56,-0.016768123023,0.001223086554,0.000000000000,0.016812670533,10.061635971069,0.064452424645,0.000000000000,10.061841964722,2.154280662537,0.037219408900,0.080180995166,0.000078037498,476.943756103516,221.393890380859,-2.383858442307
internalMesh,57,-0.015338382218,0.001223086554,0.000000000000,0.015387069565,10.081740379333,0.071080684662,0.000000000000,10.081991195679,1.678689360619,0.037374608219,0.062740378082,0.000066665605,560.632507324219,333.970520019531,-2.554929018021
internalMesh,58,-0.013965765014,0.001223086554,0.000000000000,0.014019220134,10.099356651306,0.075632542372,0.000000000000,10.099639892578,1.370199918747,0.037688616663,0.051640760154,0.000055339031,681.065063476562,497.057098388672,-2.680866718292
