Block Name,Point ID,Points_0,Points_1,Points_2,Points_Magnitude,UMean_average_0,UMean_average_1,UMean_average_2,UMean_average_Magnitude,UPrime2Mean_average_0,UPrime2Mean_average_1,UPrime2Mean_average_2,UPrime2Mean_average_3,UPrime2Mean_average_4,UPrime2Mean_average_5,UPrime2Mean_average_Magnitude,U_average_0,U_average_1,U_average_2,U_average_Magnitude,k_total_average,nut_average,pMean_average,pPrime2Mean_average,p_average,s_average
internalMesh,1259,0.114582,-0.021618,0.000000,0.116603,3.461741,-0.147151,0.000432,3.464867,9.886645,0.593275,0.000217,-0.385302,-0.006662,-0.001561,9.911924,1.708305,-0.225068,0.001163,1.723068,5.240069,0.000003,23.534077,1621219.250000,14.221697,0.925843
internalMesh,1260,0.115893,-0.021819,0.000000,0.117929,3.521411,-0.131664,0.000652,3.523871,9.979785,0.605695,0.000225,-0.358399,-0.007013,-0.003009,10.004573,1.824295,-0.203051,0.001638,1.835561,5.292852,0.000003,23.367033,1597464.000000,14.180759,0.926939
internalMesh,1261,0.117322,-0.021824,0.000000,0.119335,3.578912,-0.120664,0.000836,3.580946,10.024639,0.606112,0.000233,-0.311932,-0.007292,-0.004190,10.047792,1.946242,-0.203652,0.002173,1.956870,5.315492,0.000003,23.210958,1573702.000000,14.118305,0.927482
internalMesh,1262,0.118763,-0.021829,0.000000,0.120752,3.635307,-0.115161,0.000986,3.637131,10.012226,0.588069,0.000240,-0.239832,-0.007349,-0.005155,10.032352,2.070848,-0.211442,0.002714,2.081617,5.300268,0.000003,23.069853,1549926.875000,14.067615,0.927288
internalMesh,1263,0.120215,-0.021833,0.000000,0.122181,3.689162,-0.111309,0.001111,3.690841,9.968934,0.577892,0.000244,-0.171420,-0.007280,-0.005868,9.987145,2.204004,-0.232407,0.003260,2.216226,5.273535,0.000003,22.946083,1526155.125000,14.066472,0.926499
internalMesh,1264,0.121494,-0.021837,0.000000,0.123441,3.740003,-0.107105,0.001217,3.741536,9.906866,0.578215,0.000246,-0.118511,-0.007165,-0.006365,9.924438,2.348220,-0.269055,0.003765,2.363586,5.242664,0.000003,22.837843,1502385.250000,14.147249,0.923744
internalMesh,1265,0.123399,-0.021674,0.000000,0.125288,3.789069,-0.102760,0.001309,3.790463,9.822740,0.582157,0.000248,-0.075253,-0.006992,-0.006771,9.840268,2.495307,-0.300216,0.004116,2.513305,5.202573,0.000003,22.742573,1478607.750000,14.322816,0.915982
internalMesh,1266,0.124389,-0.021677,0.000000,0.126264,3.835878,-0.098140,0.001393,3.837133,9.731306,0.590928,0.000252,-0.041657,-0.006776,-0.007153,9.749326,2.629967,-0.304898,0.004278,2.647586,5.161243,0.000003,22.658901,1454835.750000,14.581739,0.906099
internalMesh,1267,0.126386,-0.021684,0.000000,0.128232,3.880306,-0.093561,0.001475,3.881433,9.641333,0.608425,0.000255,-0.013660,-0.006519,-0.007600,9.660526,2.743354,-0.289703,0.004272,2.758612,5.125006,0.000003,22.585524,1431071.250000,14.907815,0.898693
internalMesh,1268,0.127644,-0.021857,0.000000,0.129502,3.922167,-0.089877,0.001553,3.923197,9.561393,0.645170,0.000258,0.012428,-0.006228,-0.008153,9.583149,2.839733,-0.267504,0.004129,2.852308,5.103410,0.000003,22.523540,1407319.750000,15.293270,0.893135
internalMesh,1269,0.128911,-0.021693,0.000000,0.130723,3.962391,-0.087758,0.001626,3.963363,9.489985,0.715388,0.000262,0.032019,-0.005895,-0.008866,9.516971,2.926065,-0.238807,0.003766,2.935796,5.102817,0.000003,22.476507,1383581.500000,15.725704,0.889299
internalMesh,1270,0.130954,-0.021699,0.000000,0.132740,4.000966,-0.086107,0.001694,4.001893,9.440952,0.797712,0.000265,0.032097,-0.005426,-0.009826,9.474654,2.994320,-0.208078,0.003312,3.001543,5.119465,0.000003,22.439611,1359870.875000,16.174597,0.887785
internalMesh,1271,0.132242,-0.021872,0.000000,0.134039,4.038470,-0.083969,0.001731,4.039343,9.403905,0.828300,0.000268,0.027724,-0.004865,-0.010880,9.440361,3.063540,-0.204859,0.003233,3.070384,5.116237,0.000003,22.397486,1336195.250000,16.575809,0.888807
internalMesh,1272,0.133799,-0.021877,0.000000,0.135575,4.075109,-0.081633,0.001707,4.075927,9.363968,0.797794,0.000269,0.042277,-0.004427,-0.011651,9.397995,3.155558,-0.237509,0.003289,3.164486,5.081016,0.000003,22.341089,1312552.750000,16.875160,0.889818
internalMesh,1273,0.135367,-0.021882,0.000000,0.137125,4.109962,-0.078327,0.001598,4.110708,9.316772,0.744663,0.000266,0.073537,-0.004253,-0.011752,9.346782,3.257348,-0.269012,0.002968,3.268439,5.030851,0.000003,22.275879,1288951.750000,17.074543,0.890892
internalMesh,1274,0.136948,-0.021887,0.000000,0.138686,4.142233,-0.073742,0.001404,4.142890,9.263876,0.695403,0.000260,0.110942,-0.004314,-0.011041,9.290610,3.347812,-0.270635,0.002279,3.358734,4.979770,0.000003,22.211498,1265388.875000,17.188936,0.891916
internalMesh,1275,0.138541,-0.021892,0.000000,0.140260,4.172360,-0.069168,0.001146,4.172934,9.199859,0.658537,0.000251,0.151748,-0.004474,-0.009667,9.224652,3.428970,-0.236276,0.001345,3.437101,4.929323,0.000003,22.154764,1241868.375000,17.230520,0.892381
internalMesh,1276,0.139845,-0.021896,0.000000,0.141548,4.200246,-0.065718,0.000846,4.200760,9.127707,0.635468,0.000240,0.195580,-0.004594,-0.007884,9.151896,3.499132,-0.176202,0.000247,3.503565,4.881708,0.000003,22.109247,1218397.500000,17.217182,0.892525
internalMesh,1277,0.142036,-0.021736,0.000000,0.143689,4.226405,-0.062544,0.000519,4.226868,9.046015,0.623156,0.000227,0.232136,-0.004525,-0.005896,9.070427,3.544307,-0.112309,-0.000992,3.546086,4.834699,0.000003,22.076380,1194974.875000,17.144724,0.892641
internalMesh,1278,0.143395,-0.021907,0.000000,0.145059,4.251493,-0.058791,0.000175,4.251900,8.953688,0.617026,0.000215,0.254281,-0.004211,-0.003902,8.978526,3.571997,-0.064377,-0.002219,3.572578,4.785464,0.000003,22.053436,1171610.000000,17.008631,0.892622
internalMesh,1279,0.145039,-0.021913,0.000000,0.146685,4.275621,-0.053761,-0.000169,4.275959,8.856644,0.612683,0.000206,0.260458,-0.003669,-0.002129,8.881631,3.595420,-0.039827,-0.003125,3.595642,4.734766,0.000003,22.035009,1148305.750000,16.830082,0.892310
internalMesh,1280,0.146695,-0.021918,0.000000,0.148323,4.298924,-0.047378,-0.000490,4.299185,8.759342,0.607221,0.000202,0.254944,-0.002990,-0.000842,8.784065,3.619943,-0.024318,-0.003530,3.620026,4.683383,0.000003,22.015951,1125060.500000,16.663235,0.891812
internalMesh,1281,0.148364,-0.021923,0.000000,0.149975,4.321940,-0.040119,-0.000747,4.322127,8.660604,0.600206,0.000201,0.245522,-0.002318,-0.000256,8.684848,3.661323,-0.014475,-0.003459,3.661353,4.630505,0.000003,21.991995,1101884.375000,16.507772,0.891093
internalMesh,1282,0.150045,-0.021929,0.000000,0.151639,4.345110,-0.032450,-0.000916,4.345231,8.557685,0.592624,0.000200,0.238628,-0.001785,-0.000380,8.581499,3.718976,-0.023934,-0.003112,3.719054,4.575254,0.000003,21.960320,1078781.625000,16.356239,0.890389
internalMesh,1283,0.151740,-0.021934,0.000000,0.153317,4.368395,-0.024509,-0.000992,4.368464,8.450432,0.585002,0.000196,0.236978,-0.001458,-0.000981,8.473971,3.773975,-0.053991,-0.002676,3.774362,4.517815,0.000003,21.918997,1055750.000000,16.239481,0.890192
internalMesh,1284,0.153449,-0.021939,0.000000,0.155009,4.390999,-0.016563,-0.000995,4.391030,8.343507,0.578726,0.000189,0.241195,-0.001329,-0.001751,8.367031,3.825173,-0.095050,-0.002252,3.826355,4.461211,0.000003,21.866463,1032800.250000,16.202024,0.890244
internalMesh,1285,0.154882,-0.022108,0.000000,0.156452,4.411893,-0.008336,-0.000945,4.411901,8.243148,0.573021,0.000182,0.248482,-0.001348,-0.002473,8.266776,3.891474,-0.128211,-0.001906,3.893586,4.408174,0.000003,21.802828,1009932.562500,16.238485,0.890629
internalMesh,1286,0.157195,-0.022280,0.000000,0.158766,4.429960,0.000495,-0.000866,4.429960,8.154184,0.567300,0.000176,0.255693,-0.001459,-0.003037,8.177894,3.985297,-0.144430,-0.001672,3.987913,4.360830,0.000003,21.728655,987153.187500,16.299002,0.890971
internalMesh,1287,0.157892,-0.022282,0.000000,0.159457,4.443816,0.010429,-0.000781,4.443828,8.084754,0.562898,0.000171,0.259057,-0.001628,-0.003380,8.108466,4.095832,-0.132945,-0.001555,4.097989,4.323911,0.000003,21.644835,964466.562500,16.396280,0.891272
internalMesh,1288,0.159063,-0.021629,0.000000,0.160526,4.443816,0.010429,-0.000781,4.443828,8.084754,0.562898,0.000171,0.259057,-0.001628,-0.003380,8.108466,4.095832,-0.132945,-0.001555,4.097989,4.323911,0.000003,21.644835,964466.562500,16.396280,0.891272
internalMesh,1289,0.160120,-0.021633,0.000000,0.161575,4.452094,0.021436,-0.000710,4.452145,8.042666,0.563387,0.000166,0.255112,-0.001844,-0.003429,8.066411,4.189011,-0.081532,-0.001456,4.189805,4.303110,0.000003,21.551390,941877.937500,16.577831,0.891029
internalMesh,1290,0.162488,-0.021805,0.000000,0.163944,4.454151,0.032819,-0.000673,4.454272,8.032269,0.570973,0.000161,0.241655,-0.002121,-0.003128,8.056163,4.232262,-0.021669,-0.001262,4.232318,4.301702,0.000003,21.447622,919390.250000,16.789804,0.890696
internalMesh,1291,0.163980,-0.021973,0.000000,0.165445,4.449777,0.044117,-0.000682,4.449996,8.055588,0.585763,0.000157,0.217466,-0.002479,-0.002463,8.079784,4.214444,0.021109,-0.001036,4.214497,4.320754,0.000004,21.332775,897006.437500,16.949919,0.890712
internalMesh,1292,0.165783,-0.021979,0.000000,0.167234,4.438835,0.054633,-0.000730,4.439171,8.113606,0.603117,0.000155,0.184924,-0.002889,-0.001518,8.138094,4.168645,0.060671,-0.000936,4.169087,4.358440,0.000004,21.206778,874732.375000,17.011562,0.890314
internalMesh,1293,0.167600,-0.021985,0.000000,0.169036,4.422975,0.063698,-0.000782,4.423434,8.189235,0.616308,0.000155,0.155644,-0.003228,-0.000595,8.213868,4.141850,0.095023,-0.001125,4.142941,4.402848,0.000004,21.070009,852568.812500,16.901314,0.888243
internalMesh,1294,0.169432,-0.021991,0.000000,0.170853,4.404768,0.071300,-0.000777,4.405345,8.243725,0.622839,0.000155,0.139471,-0.003363,-0.000197,8.268397,4.146524,0.106026,-0.001499,4.147880,4.433360,0.000004,20.924965,830518.625000,16.636877,0.882781
internalMesh,1295,0.171278,-0.021996,0.000000,0.172684,4.384589,0.077660,-0.000684,4.385276,8.255018,0.625818,0.000152,0.133811,-0.003351,-0.000563,8.279788,4.139035,0.116507,-0.001824,4.140675,4.440494,0.000004,20.775578,808586.375000,16.345037,0.874800
