# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	upperWall	5.261632e-01	3.800222e+01	7.545343e+00
0.01          	lowerWall	5.557565e-01	4.816128e+01	3.042619e+01
0.02          	upperWall	5.267232e-01	3.803636e+01	9.219155e+00
0.02          	lowerWall	3.728576e-01	7.354008e+01	3.136090e+01
0.03          	upperWall	7.089134e-01	3.805972e+01	1.093416e+01
0.03          	lowerWall	5.745341e-01	8.595094e+01	3.335302e+01
0.04          	upperWall	4.403720e-01	3.803073e+01	1.195424e+01
0.04          	lowerWall	7.515284e-01	7.767699e+01	3.344866e+01
0.05          	upperWall	5.608096e-01	3.804468e+01	1.211587e+01
0.05          	lowerWall	6.255630e-01	7.704104e+01	3.264886e+01
0.06          	upperWall	5.487764e-01	3.805718e+01	1.201276e+01
0.06          	lowerWall	1.124515e+00	7.262645e+01	2.916179e+01
0.07          	upperWall	5.063753e-01	3.806357e+01	1.226288e+01
0.07          	lowerWall	1.870204e+00	6.206572e+01	2.775644e+01
0.08          	upperWall	8.742620e-01	3.804116e+01	1.346791e+01
0.08          	lowerWall	7.811518e-01	6.782259e+01	2.852272e+01
0.09          	upperWall	5.729855e-01	3.804687e+01	1.357937e+01
0.09          	lowerWall	1.004775e+00	8.082276e+01	2.801054e+01
0.1           	upperWall	1.419932e+00	3.803568e+01	1.375634e+01
0.1           	lowerWall	1.396396e+00	6.931000e+01	2.746233e+01
0.11          	upperWall	4.056575e-01	3.804827e+01	1.355123e+01
0.11          	lowerWall	1.045366e+00	6.778344e+01	2.587879e+01
0.12          	upperWall	9.105127e-01	3.805006e+01	1.402533e+01
0.12          	lowerWall	1.048600e+00	7.200953e+01	2.808884e+01
0.13          	upperWall	6.949300e-01	3.803573e+01	1.389885e+01
0.13          	lowerWall	5.427513e-01	7.069101e+01	2.755462e+01
0.14          	upperWall	1.187085e+00	3.803859e+01	1.375587e+01
0.14          	lowerWall	7.446672e-01	6.161850e+01	2.413056e+01
0.15          	upperWall	4.063368e-01	3.804387e+01	1.448598e+01
0.15          	lowerWall	3.321258e-01	6.728305e+01	2.393630e+01
0.16          	upperWall	6.730981e-01	3.804204e+01	1.446855e+01
0.16          	lowerWall	5.226221e-01	6.838503e+01	2.487119e+01
0.17          	upperWall	4.696321e-01	3.804346e+01	1.463495e+01
0.17          	lowerWall	5.848624e-01	6.659238e+01	2.428111e+01
0.18          	upperWall	9.242483e-02	3.804338e+01	1.458245e+01
0.18          	lowerWall	2.991918e-01	6.733675e+01	2.317653e+01
0.19          	upperWall	7.687214e-01	3.804404e+01	1.480819e+01
0.19          	lowerWall	3.040726e-01	5.821278e+01	2.249640e+01
0.2           	upperWall	7.946256e-01	3.804430e+01	1.488358e+01
0.2           	lowerWall	2.364511e-01	5.364940e+01	2.099659e+01
0.21          	upperWall	6.823625e-01	3.804452e+01	1.492966e+01
0.21          	lowerWall	9.937671e-02	5.007415e+01	1.977821e+01
0.22          	upperWall	6.012004e-01	3.804440e+01	1.489055e+01
0.22          	lowerWall	2.991546e-01	4.645235e+01	1.824606e+01
0.23          	upperWall	3.880537e-01	3.804424e+01	1.485595e+01
0.23          	lowerWall	3.812256e-01	4.954982e+01	1.873262e+01
0.24          	upperWall	6.034528e-01	3.804378e+01	1.504375e+01
0.24          	lowerWall	2.964041e-01	4.679855e+01	1.771315e+01
0.25          	upperWall	7.785916e-01	3.804290e+01	1.498289e+01
0.25          	lowerWall	6.114650e-01	3.985836e+01	1.656022e+01
0.26          	upperWall	2.219756e-01	3.804252e+01	1.485534e+01
0.26          	lowerWall	7.513671e-01	3.527628e+01	1.639020e+01
0.27          	upperWall	3.432005e-01	3.804282e+01	1.477918e+01
0.27          	lowerWall	3.654733e-01	4.091750e+01	1.622554e+01
0.28          	upperWall	4.148784e-01	3.804323e+01	1.477954e+01
0.28          	lowerWall	7.203710e-01	3.926663e+01	1.598210e+01
0.29          	upperWall	2.052703e-01	3.804317e+01	1.481876e+01
0.29          	lowerWall	7.056578e-01	3.424475e+01	1.600532e+01
0.3           	upperWall	2.625989e-01	3.804252e+01	1.489727e+01
0.3           	lowerWall	6.898160e-01	3.368123e+01	1.568360e+01
